,Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
139,FAMB11B,Lajes Corporativas,47041.93,28.0,0.005600000000000001,-0.478,262521190.51,2210
140,FAOE11,Indefinido,0.0,1453.0,0.0,0.0,118155565.38,8102
141,FATN11,Lajes Corporativas,734864.24,75.0,0.0105,-0.0667,353973530.95,19293
142,FCFL11,Educacional,279777.86,87.0,0.0077,-0.0501,426963667.5,3813
143,FEXC11,Papéis,860137.12,10.0,0.0,0.0,1001470167.13,36232
144,FGAA11,Indefinido,1360819.86,76.0,0.0137,-0.0636,432690947.48,51467
145,FIGS11,Shoppings,130870.81,58.0,0.0089,-0.027200000000000002,231571161.57,13061
146,FIIB11,Imóveis Industriais e Logísticos,281786.76,105.0,0.0076,-0.0134,323534675.44,16051
147,FIIP11B,Imóveis Industriais e Logísticos,1172.8,81.0,0.0087,0.0,183908294.2,54345
148,FISC11,Lajes Corporativas,11666.95,56.0,0.0077,0.0074,204893636.58,205
149,FLCR11,Papéis,238907.48,100.0,0.011899999999999999,0.0075,60827956.7,3147
150,FLFL11,Fundo de Desenvolvimento,0.0,0.0,0.0,0.0,492279207.23,1
151,FLMA11,Lajes Corporativas,69367.33,60.0,0.009000000000000001,-0.002,300246024.16,13285
152,FLRP11,Shoppings,19799.57,83.0,0.0069,-0.0383,164734569.18,811
153,FMOF11,Lajes Corporativas,724.0,43.0,0.009300000000000001,0.0,59680480.65,260
154,FPAB11,Lajes Corporativas,10514.24,58.0,0.0060999999999999995,-0.1121,256485958.16,778
155,FRHY11,Indefinido,0.0,0.0,0.0,0.0,2349387.59,7
156,FVPQ11,Shoppings,108240.57,23.0,0.0063,-0.2297,534020574.02,4161
157,FZDA11,Indefinido,8902.52,70.0,0.0083,0.0672,266843931.24,361
158,FZDB11,Indefinido,4140.33,73.0,0.0349,0.0,607279396.16,105
159,GAME11,Indefinido,144129.05,85.0,0.010700000000000001,-0.0344,206002084.97,24143
160,GARE11,Imóveis Industriais e Logísticos,7595904.0,90.0,0.0103,-0.0155,1133131462.28,272842
161,GCFF11,Fundo de Fundos,87694.83,109.0,0.0,0.0,118155565.38,8102
162,GCOI11,Indefinido,70705.0,104.0,0.0,0.0,10726744.06,354
163,GCRA11,Indefinido,199627.71,46.0,0.0137,-0.11869999999999999,151755928.34,8093
164,GCRI11,Papéis,141133.52,65.0,0.014499999999999999,-0.0779,131729433.58,4490
165,GESE11B,Educacional,0.0,2382.0,0.0,0.0,118155565.38,8102
166,GGRC11,Imóveis Industriais e Logísticos,1837297.14,72.0,0.01,-0.0138,1387883000.2,132517
167,GLOG11,Imóveis Industriais e Logísticos,124908.0,52.0,0.0089,-0.0274,81411012.08,2305
168,GRUL11,Logística,529307.86,76.0,0.0139,-0.08,236444620.0,4298
169,GRWA11,Indefinido,16875.1,83.0,0.0118,-0.030899999999999997,27692881.64,2602
170,GSFI11,Shoppings,1547490.57,55.0,0.0003,0.0,1278991812.78,7136
171,GTLG11,Imóveis Industriais e Logísticos,22885.25,100.0,0.0,0.0,118155565.38,8102
172,GTWR11,Lajes Corporativas,1142490.57,70.0,0.0109,-0.020099999999999996,1217668435.33,41327
173,GURB11,Indefinido,5000076.0,93.0,0.006500000000000001,0.0,131207174.94,1
174,GZIT11,Indefinido,478104.33,43.0,0.0169,-0.0275,2070008539.59,5122
175,HAAA11,Lajes Corporativas,1573.86,38.0,0.0024,0.0018,258319283.19,244
176,HABT11,Papéis,1614935.71,74.0,0.013600000000000001,-0.0723,770705858.88,67508
177,HBCR11,Indefinido,12613181.86,106.0,0.0074,0.0059,206043753.12,38
178,HBRH11,Lajes Corporativas,14627.0,80.0,0.0055000000000000005,0.01,316852348.31,720
179,HCHG11,Papéis,72100.67,78.0,0.0108,-0.052199999999999996,112496713.78,733
180,HCRA11,Indefinido,32281.0,0.0,0.009399999999999999,-0.010700000000000001,0.0,0
181,HCRI11,Hospitalar,44026.57,82.0,0.0105,0.056600000000000004,64294457.42,3147
182,HCTR11,Papéis,1457209.57,16.0,0.013300000000000001,-0.032,2524337724.19,154617
183,HDEL11,Imóveis Industriais e Logísticos,9093.29,116.0,0.09179999999999999,0.0,71100832.85,114
184,HFOF11,Fundo de Fundos,2830097.71,75.0,0.0096,-0.0922,1653617236.1,73736
185,HGAG11,Indefinido,2850.38,55.0,0.0087,-0.14279999999999998,5856579.07,1243
186,HGBL11,Misto,150370.52,104.0,0.013600000000000001,0.0,118884835.34,2618
187,HGBS11,Shoppings,3178693.86,81.0,0.0083,-0.0152,2857651954.31,125953
188,HGCR11,Papéis,4384695.71,93.0,0.009899999999999999,-0.0086,1504118822.11,100567
189,HGFF11,Fundo de Fundos,403014.48,82.0,0.0096,-0.038599999999999995,229606159.38,14981
190,HGIC11,Papéis,4105.24,80.0,0.011200000000000002,-0.052199999999999996,51784267.46,461
191,HGLG11,Imóveis Industriais e Logísticos,9011845.05,97.0,0.0073,-0.0129,5279191713.68,490351
192,HGPO11,Lajes Corporativas,568563.24,78.0,0.48219999999999996,0.050499999999999996,272797070.85,10975
193,HGRE11,Lajes Corporativas,1691578.71,64.0,0.0077,-0.0347,1809562333.47,146043
194,HGRS11,Imóveis Residenciais,0.0,0.0,0.0,0.0,118155565.38,8102
195,HGRU11,Misto,6143491.71,89.0,0.0078000000000000005,-0.044000000000000004,2889058703.09,208651
196,HILG11,Indefinido,943.0,105.0,0.0,0.0,98871375.58,51
197,HLOG11,Imóveis Industriais e Logísticos,81193.43,68.0,0.0048,-0.0027,490687724.4,3671
198,HOFC11,Lajes Corporativas,106927.52,31.0,0.006500000000000001,0.7383,265352814.35,5281
199,HOSI11,Imóveis Residenciais,47771.52,90.0,0.0067,0.0279,52947987.14,1332
200,HPDP11,Shoppings,13524.05,87.0,0.006,-0.0031,313998094.37,398
201,HRDF11,Fundo de Desenvolvimento,34186.0,34.0,0.0,0.0,13390591.83,1032
202,HREC11,Papéis,187618.19,87.0,0.01,-0.0159,454060397.06,2816
203,HRES11,Imóveis Residenciais,47760.0,120.0,0.010700000000000001,0.0,57731366.17,123
204,HSAF11,Papéis,582448.1,81.0,0.0106,-0.0336,218445356.53,9851
205,HSLG11,Imóveis Industriais e Logísticos,592710.24,72.0,0.009000000000000001,-0.0012,1317068433.18,40218
206,HSML11,Shoppings,5021023.57,67.0,0.0098,-0.0436,2265944267.66,195323
