Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
DAMA11,Misto,"12.503,19",98.0,"0,63 %","-9,09 %","42.817.034,30",719
DAMT11B,Shoppings,1400,83.0,"0,33 %","-17,00 %","246.416.467,00",538
DCRA11,Misto,"139.242,29",,"1,42 %","-9,64 %",,0
DEVA11,Papéis,"884.763,71",27.0,"1,39 %","-6,12 %","1.398.736.895,82",99.631
DLMT11,Varejo,,,"0,00 %","0,00 %","7.983.558,23",9
DPRO11,Indefinido,"2.707,90",65.0,"0,87 %","-5,79 %","46.040.465,98",737
DRIT11B,Lajes Corporativas,"1.547,00",65.0,"0,00 %","0,00 %","59.546.014,82",364
DVFF11,Fundo de Fundos,"29.922,86",75.0,"1,09 %","-7,76 %","92.016.009,14",1.748
EDFO11B,Lajes Corporativas,"7.938,50",103.0,"0,00 %","0,00 %","52.707.758,43",500
EDGA11,Lajes Corporativas,"12.396,81",27.0,"0,34 %","0,17 %","237.873.097,08",4.374
EGAF11,Indefinido,"574.380,57",83.0,"1,21 %","-0,17 %","308.778.756,36",11.948
ENDD11,Indefinido,"289.691,24",,"2,79 %","10,66 %",,0
EQIA11,Fiagro,,,,,,0
EQIR11,Indefinido,"226.329,10",75.0,"1,17 %","-7,09 %","104.782.914,95",11.438
ERCR11,Varejo,,59.0,"2,77 %","-8,99 %","62.813.536,15",10
ERPA11,Lajes Corporativas,"3.273,00",94.0,"0,65 %","-2,98 %","71.095.792,53",443
ESUD11,Indefinido,"1.579,95",,"0,00 %","0,00 %",,0
ESUT11,Indefinido,58182,,"0,00 %","0,00 %",,0
ESUU11,Indefinido,"3.200,00",,"0,00 %","0,00 %",,0
EURO11,Imóveis Industriais e Logísticos,"38.078,57",61.0,"0,85 %","0,36 %","129.845.419,33",2.178
EVBI11,Misto,"32.194,42",108.0,"1,00 %","3,04 %","411.111.480,82",1.336
EXES11,Indefinido,"56.276,67",104.0,"1,15 %","0,00 %","64.854.403,56",399
FAED11,Educacional,"64.708,00",62.0,"1,15 %","-2,58 %","152.202.971,24",4.444
FAMB11B,Lajes Corporativas,"47.041,93",28.0,"0,56 %","-47,80 %","262.521.190,51",2.210
FAOE11,Indefinido,,1453.0,"0,00 %","0,00 %","118.155.565,38",8.102
FATN11,Lajes Corporativas,"734.864,24",75.0,"1,05 %","-6,67 %","353.973.530,95",19.293
FCFL11,Educacional,"279.777,86",87.0,"0,77 %","-5,01 %","426.963.667,50",3.813
FEXC11,Papéis,"860.137,12",10.0,"0,00 %","0,00 %","1.001.470.167,13",36.232
FGAA11,Indefinido,"1.360.819,86",76.0,"1,37 %","-6,36 %","432.690.947,48",51.467
FIGS11,Shoppings,"130.870,81",58.0,"0,89 %","-2,72 %","231.571.161,57",13.061
FIIB11,Imóveis Industriais e Logísticos,"281.786,76",105.0,"0,76 %","-1,34 %","323.534.675,44",16.051
FIIP11B,Imóveis Industriais e Logísticos,"1.172,80",81.0,"0,87 %","0,00 %","183.908.294,20",54.345
FISC11,Lajes Corporativas,"11.666,95",56.0,"0,77 %","0,74 %","204.893.636,58",205
